"UniProt","name","direction","importance"
"Q11130","FUT7","up",0.147475047066516
"Q9NRR5","UBQL4","down",0.147409254014955
"Q6PH85","DCNL2","up",0.147345898613801
"O75015","FCG3B","up",0.147259946484772
"Q86WK6","AMGO1:ECD","up",0.147212081504756
"P54821","PRRX1","up",0.147108090653193
"P42126","D3D2","up",0.146834438237448
"P49914","MTHFS","down",0.146751037015107
"Q9NQX3","GEPH","up",0.146670953406339
"Q13572","ITPK1","down",0.146403187056152
"Q9Y512","SAM50","down",0.146377387091633
"O14929.1",NA,"up",0.146377387091633
"Q99LC4.187",NA,"down",0.146339311031383
"Q6ICC9","LDOCL","up",0.146303147630077
"A6NGB7","TM221","up",0.146303147630077
"Q15782","CH3L2","down",0.146170783846332
"Q9BUB4","ADAT1","up",0.146090850761398
"Q9Y6Q6","RANK","up",0.146090850761398
"Q99650","OSMR","down",0.146090850761398
"Q96H35","RBM18","up",0.146090850761398
"Q96DN0","ERP27","up",0.146090850761397
"O95149","SPN1","down",0.146090850761397
"Q01543","FLI1","down",0.146090850761397
"Q5VZF2","MBNL2","down",0.146090850761397
"O00299","NCC27","down",0.146090850761397
"P08567","PLEK","down",0.146090850761397
"Q9NUW8","TYDP1","up",0.146004672779149
"Q9NVM6","DJC17","up",0.145831793189071
"Q9H777","RNZ1","up",0.145831793189071
"Q6UWW8.1",NA,"down",0.145570470400133
"Q9NZH8","IL-1F9","down",0.145483434248881
"Q8NI08","NCOA7","down",0.145106984751271
"O14950","ML12B","down",0.145057775500949
"O75663","TIPRL","down",0.145057775500949
"Q9NZC2.1",NA,"down",0.144902981416333
"Q9NPI6","DCP1A","down",0.144710316497018
"Q8NBS9","TXND5","up",0.144529078010209
"P30043","BLVRB","up",0.144474703942209
"P78556","MIP-3a","down",0.144444336544218
"Q6UWE3","CF126","up",0.144376897455092
"O43752","Syntaxin-6","up",0.144311592889535
"O94808","GFPT2","down",0.144287914399678
"Q13137","CACO2","up",0.144003565645686
"Q14232","EI2BA","down",0.143669596567563
"Q9H3H3","CK068","down",0.143669596567563
"Q15274","NADC","down",0.143474810862459
"Q8IVU1","IGDC3:CD","up",0.143463834057809
"Q9BTE7","DCNL5","down",0.143402637106533
"P01282","Vasoactive Intestinal Peptide","up",0.143197911372841
"P14550","AK1A1","down",0.143083764495723
"Q15116.1",NA,"up",0.143083764495723
"O75326","Semaphorin-7A","up",0.143041447708821
"O75324","SNN","up",0.143031592982666
"P01833","PIGR","up",0.14296640764024
"P16619","LD78-beta","down",0.142916364911947
"P29084","T2EB","up",0.142914423290843
"Q6UWN8","ISK6","up",0.142854079092325
"Q9UBX1.1",NA,"down",0.14270716656084
"Q9NZC2","TREM2","down",0.142680539613601
"Q9UI30","TR112","down",0.142563600245657
"Q9NZC4","EHF","down",0.142396618894918
"O60602","TLR5","up",0.142396618894918
"Q6UX71.1",NA,"down",0.142280767191543
"O60218","Aldose reductase-like","down",0.142280767191543
"Q13946","PDE7A","up",0.141819996767801
"Q99LC4.80",NA,"up",0.141817728527953
"Q9H0A9","SPC1L","down",0.141804726743943
"P55345","ANM2","down",0.141804726743943
"Q9BPW9","DHRS9","down",0.141768205000337
"Q9NUJ3","T11L1","down",0.141593918146188
"O00142","KITM","up",0.141376886581831
"Q6UXN7","TO20L","up",0.140482606425742
"Q8TC92","ENOX1","up",0.140482606425742
"P05090.1",NA,"up",0.140471806102869
"Q14011","CIRBP","down",0.140460910236179
"Q2M296","MTHFSD","down",0.140434740337358
"Q96JZ2","HSH2D","down",0.140341440640655
"Q9UNP9","PPIE","down",0.14026069111325
"O95822","DCMC","up",0.140138165895614
