"Overall","Feature"
70.3163233527606,"O75347"
87.7843960550728,"Q6UXK5"
47.8812223585115,"Q99584"
100,"Q9HBM1"
39.429199073415,"Q9UBQ0"
0,"Q08708"
0,"O00559"
0,"Q8NBL1"
0,"Q8WWW0"
0,"Q5VU65"
0,"Q13637"
0,"P78344"
0,"Q15007"
0,"Q96RJ3"
0,"Q9Y2H0"
0,"P20674"
0,"Q92890"
0,"Q9P2W7"
0,"Q02083"
0,"P34897"
0,"Q96G28"
0,"O00625"
0,"Q9BYD6"
0,"O43399"
0,"A1A4F0"
0,"P08195.1"
0,"O00602"
0,"P26196"
0,"Q9Y613"
0,"Q16623.1"
0,"P0DJI8"
0,"P21246"
0,"Q9UJC5"
0,"P14061"
0,"Q8IXI2"
0,"P35606"
0,"P47929"
0,"P61018"
0,"Q96I24"
0,"O95926"
0,"Q9NUQ8"
0,"P01137"
0,"P13726"
0,"Q08050"
0,"P17677"
0,"P18859"
0,"P28838"
0,"P36404"
0,"Q8WU20"
0,"Q9Y606"
0,"P26639"
0,"Q9Y376"
0,"Q6BAA4"
0,"Q92608"
0,"Q9NS18"
0,"P19105"
0,"Q07960.1"
0,"P07948"
0,"P17252"
0,"O14737"
0,"Q6PKC3.1"
0,"Q8NHR7"
0,"Q9H7Z7"
0,"Q9HAV7"
0,"Q9NPJ3"
0,"P13501.1"
0,"Q6IBS0"
0,"Q9NRM6.1"
0,"Q92952"
0,"Q92802"
0,"Q9NSI8"
0,"P05231.1"
0,"P21283"
0,"P01229.P01215"
0,"P22888"
0,"Q96LA5"
0,"Q96GD3"
0,"Q9H0V9"
0,"Q15907"
0,"P20138"
