"protein","mi_median_ctrl","sel_freq_ctrl","mi_median_als","sel_freq_als","mi_median_nonals","sel_freq_nonals","mi_full_ctrl","mi_full_als","mi_full_nonals","delta_mi_median","delta_sel_freq","high_ctrl","high_als","high_nonals","category"
"Q8IYD9",0.0629399031185829,0.01,0.0179636347288012,0.01,0.159503441453011,0.06,0.034041243736143,0.00592976659976596,0.10280385615335,-0.204479709842793,-0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P01236",0.0629215899288031,0,0.024916989451385,0.03,0.153831327113663,0.02,0.015044800170358,0.0157069740691993,0.107785986264209,-0.191835927591081,0.03,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O43248",0.0629151583909566,0,0.0155437040894357,0.01,0.164402001472203,0,0.0189731729025495,0.00967144890263016,0.152505159203561,-0.211773455773724,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"A4D1S0",0.0629136180933878,0,0.0190321656635513,0.01,0.117019741238192,0,0.0320652130353101,0.0137028488327222,0.0909070138847079,-0.160901193668029,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9GZV9",0.0629048857102861,0.02,0.0100614649156567,0,0.119563550292832,0,0.0419130936184828,0.00232682572020071,0.0461878409453564,-0.172406971087462,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q3LXA3",0.0629043441298789,0.01,0.0100049259789003,0,0.142422446458359,0.02,0.0154572630491887,0.00194063840476089,0.0580846832139994,-0.195321864609337,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P17948.1",0.0629040521445046,0.01,0.0194990577696863,0.01,0.106501810878863,0,0.0302960436990345,0.020548866193975,0.0461878409453564,-0.149906805253681,-0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P56524",0.0628996064876475,0,0.0241250172370149,0.01,0.114731604465639,0.01,0.0504909320408524,0.0168793241767164,0.0396925139935216,-0.153506193716272,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q5BIV9",0.062893731266177,0.01,0.0113360714183817,0,0.124731460391595,0,0.0289601712117884,0.00445280091658828,0.0909070138847079,-0.17628912023939,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9UN86",0.0628862971427666,0,0.0187498417352627,0,0.115058066205723,0,0.0171479127168577,0.0143184789909463,0.0844116869328726,-0.159194521613227,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q8N423",0.0628803477110931,0,0.02011142012983,0.02,0.111639273150935,0,0.00743529611347249,0.0182357380202895,0.0014686680060052,-0.154408200732198,0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P05455.1",0.0628725467923938,0,0.0152099191008033,0.01,0.143833880853868,0.01,0.0441652676391988,0.00111306371622533,0.0515893562621641,-0.191496508545458,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9HBG7",0.0628516587114401,0,0.0255214036542686,0.03,0.126253496212174,0,0.0368181094077671,0.0318259070649427,0.0909070138847075,-0.163583751269345,0.03,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q99LC4.64",0.062850610988924,0,0.0149463176098741,0,0.110420806289862,0.01,0.034763559038328,0.00626139825260852,0.0580846832139994,-0.158325099668912,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q16772",0.0628358386445551,0.01,0.0158336641086665,0,0.114318983579788,0,0.0320652130353101,0.0124172056319449,0.0461878409453564,-0.161321158115677,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q8WVF5",0.0628256916360692,0.02,0.012722689684503,0,0.137730953274868,0.04,0.0411434384834357,0.00670618140413293,0.0461878409453564,-0.187833955226435,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O96017",0.0628256267780649,0.01,0.0146484753239253,0,0.120415743446748,0,0.0275510113249195,0.00438826050610164,0.0909070138847075,-0.168592894900887,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q16627",0.0628223841599631,0.01,0.0238215623328719,0,0.161829328540497,0.1,0.0134027126797496,0.0120125080341746,0.134328850298097,-0.200830150367589,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9NPH6",0.0627945935583507,0.01,0.0146799751741744,0,0.129166913793418,0.05,0.0462528736503445,0.0108855147844249,0.0608338627106015,-0.177281532177594,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q8WWQ8",0.0627930515224053,0,0.0203630778630135,0.01,0.126886561175455,0,0.0134027126797496,0.0105420109982366,0.0608338627106015,-0.169316534834847,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q8WUU5",0.0627789333258841,0.03,0.0229056748987175,0.02,0.156397136288522,0.04,0.00743529611347249,0.0158242530404715,0.10778598626421,-0.196270394715689,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q15293",0.0627746458862664,0.01,0.0140259132016298,0.03,0.137730953274868,0,0.0154572630491887,0.00820056910594147,0.105553035649953,-0.186479685959505,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P26927",0.062767188923863,0.01,0.0172552220304001,0,0.114318983579788,0,0.0620288088299294,0.00904477232905609,0.0844116869328726,-0.159830950473251,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P00533",0.0627662601115062,0,0.0232132761928265,0.03,0.124574431836642,0,0.0250509424349428,0.0147625702975716,0.0844116869328726,-0.164127415755321,0.03,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P08311",0.0627541279193986,0,0.0133250307071631,0.01,0.145522663861998,0.08,0.03695271992579,0.0026320165511895,0.052683167897192,-0.194951761074234,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q96NI6",0.0627500953131044,0,0.0169352825328606,0,0.120375563980095,0,0.0386433695934589,0.00566239315856798,0.0461878409453564,-0.166190376760338,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9NPY3.1",0.0627431957080864,0,0.0142861836058445,0,0.113608961446471,0,0.0442611696491215,0.00247125101627566,0.0014686680060052,-0.162065973548713,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9Y2C3",0.0627407593885905,0,0.0143768935374471,0,0.107463779741312,0,0.0427855259740446,0.00545111582396318,0.0909070138847075,-0.155827645592456,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q16363",0.0627406357913813,0,0.0139038976995365,0,0.11502039584198,0.01,0.0130057563362729,0.00629094344817416,0.052683167897192,-0.163857133933825,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O95198",0.0627396500619266,0,0.0204004440024503,0.01,0.118447074985704,0,0.0375085914124429,0.00967144890263016,0.0014686680060052,-0.16078628104518,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P05164",0.0627394980737042,0.01,0.0370162836751304,0.12,0.130873903885365,0.01,0.0320652130353101,0.0336459319672295,0.105553035649953,-0.156597118283939,0.1,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q96EN8",0.0627347796941382,0,0.0153220268596626,0,0.114590259161576,0.01,0.0271054928043819,0.0053386701666116,0.0396925139935216,-0.162003011996052,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q68D85",0.0627299917512367,0,0.0189366025334998,0.01,0.125927034472089,0.02,0.0271054928043819,0.0145017246806529,0.0461878409453564,-0.169720423689826,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q49AH0",0.0627264903804687,0.02,0.0210762173670971,0,0.15352501994277,0.03,0.0224405205788503,0.0137163221645324,0.066235378027409,-0.195175292956142,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O94813",0.0627146647987742,0,0.0145596106586403,0,0.140899517977419,0,0.0171479127168577,0.00618582468862527,0.0963085292015153,-0.189054572117553,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P02741",0.0627017133658523,0,0.0196228590705789,0,0.115188728561169,0.01,0.0203529145677037,0.0153863112426937,0.052683167897192,-0.158267582856442,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q16186",0.0626969236722332,0,0.0123502403158657,0,0.137146377093611,0.01,0.0909828324832378,0.00224563554275958,0.102803856153351,-0.187493060449978,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P01229",0.0626886871068957,0,0.0140066942216903,0,0.121617485239282,0,0.023329112931529,0.00452244655758616,0.0909070138847075,-0.170299478124488,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P55291.1",0.0626865180987015,0.02,0.0101080537352567,0,0.129292359745477,0.01,0.0224405205788503,0.0014260993539823,0.117449877918596,-0.181870824108922,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O95832",0.0626827788345603,0,0.0133627526778815,0,0.15250515920356,0,0.0171479127168577,0.00474047793713783,0.107785986264209,-0.201825185360239,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q8N8J7",0.0626785393755074,0.02,0.0274538567263531,0.06,0.13674081658016,0.01,0.0168855668914034,0.0253700125052609,0.0461878409453564,-0.171965499229314,0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P37173",0.062663039509939,0,0.0167861593150853,0,0.14754592187328,0,0.0314308218800501,0.00824618335474359,0.107785986264209,-0.193422802068134,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9P2W9",0.0626619967802322,0,0.0104146419551592,0,0.144414201817937,0.01,0.0296055616943582,0.0038620323607117,0.0461878409453564,-0.19666155664301,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9NVM1",0.0626574427815967,0,0.0197500214115574,0,0.145171625954961,0,0.0189731729025495,0.0150323372921677,0.0963085292015153,-0.188079047325,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9Y5K5",0.062655614107924,0.01,0.0179593749006979,0.01,0.140195663556142,0.02,0.0284707835133426,0.0117250611965547,0.052683167897192,-0.184891902763368,-0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P30532",0.062650649995887,0,0.0195031994426951,0,0.131886839721837,0,0.0238202622440045,0.0119955047705615,0.0963085292015153,-0.175034290275029,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q96QR8",0.0626484470492532,0,0.0155976087544396,0.01,0.121006487340045,0,0.0171479127168577,0.00184010080288566,0.0844116869328726,-0.168057325634858,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q86SE8",0.0626442042167592,0,0.0120010740321705,0,0.137020931141551,0.03,0.0226698107625976,0.00313916503604794,0.0580846832139994,-0.187664061326139,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9HB07",0.0626357642278597,0,0.0200309941498908,0.03,0.122061379668359,0,0.0351760219171582,0.00999074632342989,0.0909070138847075,-0.164666149746328,0.03,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P14784",0.0626345464926306,0.01,0.017261841458996,0,0.114646337980232,0,0.0147824543449042,0.00882952324340591,0.052683167897192,-0.160019043013867,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9UJ70",0.0626313902243034,0,0.0117250887449514,0,0.115777819979004,0,0.029193098815528,0.00570189638664198,0.0461878409453567,-0.166684121458356,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q08174",0.0626243937979547,0,0.0170547876713825,0,0.121617485239282,0,0.0189731729025495,0.00859177418441393,0.0461878409453564,-0.167187091365855,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
